MANUFACTURER,MANUFACTURER IMG,Brand,Brand aka,Brand IMG,Line,Cigar,Cigar IMG,Vitola,Length,RG,Shape,Wrapper,Binder,Filler,Origin,Wrapper Shade,Strength,Cuban,Box Pressed,Tubo,F/S,TIN,Pack,Barber,Favorite,MSRP,Box MSRP,Box Count,Inventory,Keystone1,Box Cost,Cigar Cost,Net,PRODUCT #,Master Case,Excerpt,Media,Year,Rank,key
,img/icons/manufacturers/gpc.svg,1502,,,Ruby,Conquistador,,,,,,Ecuador,Nicaragua,Nicaragua,Nicaragua,,,,,,,,,,,0.0,,,89,,,,,,,,Cigar Journal,2014.0,22.0,1502|conquistador|
,img/icons/manufacturers/gpc.svg,1502,,,XO,Toro,,Toro,,,Parejo,Undisclosed,Undisclosed,Undisclosed,Nicaragua,,,,,,,,,,,0.0,,,89,,,,,,,,Cigar Journal,2016.0,16.0,1502|toro|toro
,img/icons/manufacturers/gpc.svg,1502,,,XO,Churchill,,Churchill,,,Parejo,Undisclosed,Undisclosed,Undisclosed,Nicaragua,,,,,,,,,,,0.0,,,89,,,,,,,,Cigar Journal,2017.0,21.0,1502|churchill|churchill
,img/icons/manufacturers/gpc.svg,1502,,,,1502 ANIVERSARIO 10,,,,,,Ecuador,Mexico,Nicaragua,Nicaragua,,,,,,,,,,,0.0,,,89,,,,,,,,Cigar Journal,2022.0,25.0,1502|1502 aniversario 10|
Global Premium Cigars GPC,img/icons/manufacturers/gpc.svg,1502,,img/icons/brands/1502.svg,,1502 Blue Sapphire Rob Gordo,,Gordo,,,Parejo,,,,,,,,,,,,,,,14.25,,,89,,,,0.0,,,,,,,1502|1502 blue sapphire rob gordo|gordo
Global Premium Cigars GPC,img/icons/manufacturers/gpc.svg,1502,,img/icons/brands/1502.svg,,1502 Black Gold Robusto,,Robusto,,,Parejo,,,,,,,,,,,,,,,11.0,,,89,,,,0.0,,,,,,,1502|1502 black gold robusto|robusto
Global Premium Cigars GPC,img/icons/manufacturers/gpc.svg,1502,,img/icons/brands/1502.svg,,1502 Emerald Robusto BP,,Robusto,,,Parejo,,,,,,,,BP,,,,,,,11.0,,,89,,,,0.0,,,,,,,1502|1502 emerald robusto bp|robusto
Global Premium Cigars GPC,img/icons/manufacturers/gpc.svg,1502,,img/icons/brands/1502.svg,,1502 Nicaragua Robusto,,Robusto,,,Parejo,,,,,,,,,,,,,,,12.05,,,89,,,,0.0,,,,,,,1502|1502 nicaragua robusto|robusto
Global Premium Cigars GPC,img/icons/manufacturers/gpc.svg,1502,,img/icons/brands/1502.svg,,1502 Ruby Robusto BP,,Robusto,,,Parejo,,,,,,,,BP,,,,,,,11.0,,,89,,,,0.0,,,,,,,1502|1502 ruby robusto bp|robusto
Global Premium Cigars GPC,img/icons/manufacturers/gpc.svg,1502,,img/icons/brands/1502.svg,,1502 Anniversario 10 Toro,,Toro,,,Parejo,,,,,,,,,,,,,,,17.25,,,89,,,,0.0,,,,,,,1502|1502 anniversario 10 toro|toro
Drew Estate,img/icons/manufacturers/drewestate.svg,20 Acre Farm,20af,img/icons/brands/20acrefarm.svg,20 Acre Farm,Robusto,,Robusto,5.25,54,Parejo,USA Connecticut Shade,"Habano, Honduras","Nicaragua, USA",Nicaragua,Claro,Medium,,,,,,,,,14.7,294,20,89,15.95,149.5,7.475,8.475,Q-01-82-001,30.0,,,,,20 acre farm|robusto|robusto
Drew Estate,img/icons/manufacturers/drewestate.svg,20 Acre Farm,20af,img/icons/brands/20acrefarm.svg,20 Acre Farm,Toro,,Toro,6,52,Parejo,USA Connecticut Shade,"Habano, Honduras","Nicaragua, USA",Nicaragua,Claro,Medium,,,,,,,,,15.7,314,20,89,16.95,159.5,7.975,8.975,Q-01-82-002,30.0,,,,,20 acre farm|toro|toro
Drew Estate,img/icons/manufacturers/drewestate.svg,20 Acre Farm,20af,img/icons/brands/20acrefarm.svg,20 Acre Farm,Gordito,,Gordo,6,60,Parejo,USA Connecticut Shade,"Habano, Honduras","Nicaragua, USA",Nicaragua,Claro,Medium,,,,,,,,,16.7,334,20,89,17.95,169.5,8.475,9.475,Q-01-82-003,30.0,,,,,20 acre farm|gordito|gordo
,,2012 by Oscar,,,Corojo,Toro,,Toro,,,Parejo,Honduras,Nicaragua,Honduras; Nicaragua,Honduras,,,,,,,,,,,0.0,,,89,,,,,,,,Cigar Journal,2017.0,17.0,2012 by oscar|toro|toro
,,601 La Bomba,,,,601 La Bomba Warhead X,https://www.cigaraficionado.com/top25cigar/601-la-bomba-warhead-x-2024,Toro,6,52,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,,,,,,,,,,,0.0,,,89,,,,,,,,Aficionado,2024.0,18.0,601 la bomba|601 la bomba warhead x|toro
Kurt Kendall,,7-20-04,,img/icons/brands/72004.svg,,7-20-4 Lancero,,Lancero,,,Parejo,,,,,,,,,,,,,,,9.3,,,89,,,,0.0,,,,,,,7-20-04|7-20-4 lancero|lancero
Kurt Kendall,,7-20-04,,img/icons/brands/72004.svg,,7-20-4 1874 Robusto,,Robusto,,,Parejo,,,,,,,,,,,,,,,11.05,,,89,,,,0.0,,,,,,,7-20-04|7-20-4 1874 robusto|robusto
